date,open,high,low,close,volume
2024-01-01,100.5,101.97,99.16,100.36,6734
2024-01-02,99.44,100.35,98.65,99.31,9322
2024-01-03,98.85,99.75,98.49,99.38,5555
2024-01-04,99.41,100.2,98.89,98.98,3747
2024-01-05,98.28,99.83,95.8,96.18,8734
2024-01-08,96.16,98.16,94.85,96.5,6393
2024-01-09,95.92,97.02,94.61,96.83,6486
2024-01-10,97.75,100.95,97.41,99.29,4152
2024-01-11,100.11,100.73,97.86,98.89,4843
2024-01-12,99.1,101.82,98.93,99.98,2016
2024-01-15,100.24,103.08,98.31,101.89,7331
2024-01-16,100.74,102.49,100.59,100.87,9006
2024-01-17,98.98,99.56,97.6,97.63,6618
2024-01-18,98.63,101.09,98.49,99.55,7184
2024-01-19,98.66,99.39,97.23,98.55,9996
2024-01-22,99.35,102.48,98.41,100.7,9110
2024-01-23,101.68,103.64,100.11,102.49,7938
2024-01-24,99.8,100.67,99.59,100.62,1863
2024-01-25,99.19,101.25,97.39,100.23,8574
2024-01-26,101.1,103.83,99.2,103.41,4157
2024-01-29,103.72,105.27,103.5,104.65,4627
2024-01-30,105.65,106.34,105.18,105.43,6592
2024-01-31,104.69,105.17,103.46,104.35,6864
2024-02-01,103.44,104.55,101.92,102.92,1663
2024-02-02,102.75,104.24,101.31,103.17,6232
2024-02-05,103.15,103.66,101.69,103.12,8554
2024-02-06,102.02,102.09,99.77,101.0,5737
2024-02-07,100.56,101.25,99.2,100.47,6249
2024-02-08,97.96,100.51,96.8,99.41,4510
2024-02-09,98.64,100.85,97.92,99.4,3931
2024-02-12,99.36,101.2,97.77,99.58,5282
2024-02-13,101.27,102.19,100.24,102.16,9338
2024-02-14,101.42,103.33,100.35,101.15,7694
2024-02-15,100.36,102.21,98.28,100.03,1262
2024-02-16,101.08,102.74,100.01,101.61,3049
2024-02-19,102.63,103.17,102.05,102.78,3255
2024-02-20,103.42,104.85,103.08,104.68,5199
2024-02-21,104.98,104.99,103.9,104.23,5433
2024-02-22,101.23,103.25,100.07,100.42,6699
2024-02-23,99.67,101.15,97.26,98.54,2218
2024-02-26,99.35,101.42,98.62,101.23,4446
2024-02-27,101.78,103.77,99.28,100.25,6895
2024-02-28,101.47,103.04,100.3,102.01,6600
2024-02-29,102.65,103.23,101.72,101.77,8679
2024-03-01,101.64,104.38,99.69,102.4,6088
2024-03-04,102.17,102.56,101.14,101.69,4394
2024-03-05,101.91,103.81,99.24,100.64,2895
2024-03-06,99.48,101.38,98.89,100.86,1784
2024-03-07,101.32,103.73,100.47,103.12,2841
2024-03-08,103.65,109.36,102.3,107.65,7655
2024-03-11,107.05,108.94,106.85,106.91,6919
2024-03-12,106.39,107.47,105.24,106.48,2148
2024-03-13,106.64,107.32,106.55,106.79,4854
2024-03-14,105.83,106.94,103.86,105.48,4051
2024-03-15,105.43,107.76,105.02,105.98,5142
2024-03-18,105.17,105.89,103.13,105.61,2693
2024-03-19,105.5,106.41,103.42,104.98,9932
2024-03-20,106.85,106.98,104.19,106.13,8805
2024-03-21,106.32,108.04,104.93,106.94,1580
2024-03-22,105.52,108.0,104.77,107.47,8253
2024-03-25,107.94,109.81,107.73,108.78,3479
2024-03-26,108.18,110.38,106.78,109.37,6881
2024-03-27,111.06,112.63,110.22,112.52,7905
2024-03-28,112.53,114.6,110.99,113.38,3839
2024-03-29,113.77,116.66,112.23,114.82,3427
2024-04-01,115.08,116.97,113.33,114.77,6536
2024-04-02,113.46,114.75,112.97,114.13,4373
2024-04-03,113.57,114.53,111.65,113.81,1417
2024-04-04,113.78,115.35,111.04,111.82,1412
2024-04-05,111.72,113.88,109.94,111.16,6988
2024-04-08,111.99,114.9,111.06,112.67,6073
2024-04-09,113.23,115.19,110.24,111.5,4440
2024-04-10,112.77,114.28,111.92,113.74,9787
2024-04-11,113.14,116.26,112.26,114.22,1395
2024-04-12,114.67,116.22,113.42,114.52,6486
2024-04-15,115.81,118.79,113.62,118.29,2167
2024-04-16,117.46,118.76,116.42,117.45,6334
2024-04-17,119.58,122.39,117.94,120.07,1953
2024-04-18,119.08,119.57,117.41,119.37,7313
2024-04-19,120.43,120.78,118.91,120.15,6541
2024-04-22,121.53,123.84,118.57,120.95,4141
2024-04-23,120.76,123.93,119.05,123.0,9905
2024-04-24,122.63,123.78,122.49,122.63,7619
2024-04-25,123.42,125.93,121.74,124.08,1504
2024-04-26,122.29,124.41,120.71,121.26,1133
2024-04-29,118.96,119.77,116.76,119.67,6348
2024-04-30,120.68,120.86,118.99,119.39,4376
2024-05-01,118.88,122.61,117.49,121.09,3703
2024-05-02,121.53,124.12,121.39,121.79,9549
2024-05-03,124.45,125.14,122.98,123.45,4719
2024-05-06,124.72,124.91,120.08,122.46,4775
2024-05-07,121.86,122.54,120.8,121.8,3779
2024-05-08,121.01,121.19,118.25,120.52,8026
2024-05-09,121.42,124.24,119.15,123.21,8409
2024-05-10,121.69,122.92,119.8,121.92,3193
2024-05-13,119.83,123.81,117.81,121.46,5000
2024-05-14,118.48,119.12,117.28,117.41,3000
2024-05-15,119.33,121.79,117.94,119.6,4636
2024-05-16,119.23,119.54,115.08,117.32,1716
2024-05-17,117.71,119.49,117.3,117.41,8239
2024-05-20,117.41,118.52,114.96,116.91,5363
2024-05-21,116.25,120.2,114.42,119.2,5673
